用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-INT-003,按钮点击反馈,打开选择照片弹窗,"1. 点击""本地相册""按钮
2. 点击""图公主相册""按钮
3. 点击""云空间相册""按钮","1. 本地相册按钮显示点击反馈
2. 图公主相册按钮显示点击反馈
3. 云空间相册按钮显示点击反馈",中,无
TC-INT-004,关闭按钮点击反馈,打开选择照片弹窗,1. 点击关闭按钮,1. 关闭按钮显示点击反馈,中,无
TC-INT-005,弹窗打开动画,在拍立得主页面,1. 触发打开选择照片弹窗,1. 弹窗以动画形式打开,中,无
TC-INT-006,弹窗关闭动画,打开选择照片弹窗,1. 点击关闭按钮关闭弹窗,1. 弹窗以动画形式关闭,中,无
TC-EDGE-001,无权限访问本地相册,打开选择照片弹窗，未授权相册权限,"1. 点击""本地相册""按钮","1. 提示需要授权相册权限
2. 引导用户去设置中开启权限",高,无
TC-EDGE-002,图公主设备未绑定,打开选择照片弹窗，未绑定图公主设备,"1. 点击""图公主相册""按钮","1. 提示未绑定图公主设备
2. 引导用户绑定设备",中,无
TC-EDGE-003,云空间相册为空,打开选择照片弹窗，云空间无照片,"1. 点击""云空间相册""按钮","1. 显示云空间为空的提示
2. 引导用户上传照片",中,无
TC-EDGE-004,网络异常时访问云空间,打开选择照片弹窗，网络异常,"1. 点击""云空间相册""按钮","1. 显示网络异常提示
2. 提供重试选项",中,无
TC-COMP-001,iPhone 设备测试,使用 iPhone 设备,"1. 在 iPhone 上打开选择照片弹窗
2. 检查弹窗显示
3. 测试各个按钮点击","1. 弹窗正常显示
2. 布局适配正确
3. 按钮功能正常",高,无
TC-COMP-002,Android 设备测试,使用 Android 设备,"1. 在 Android 上打开选择照片弹窗
2. 检查弹窗显示
3. 测试各个按钮点击","1. 弹窗正常显示
2. 布局适配正确
3. 按钮功能正常",高,无
TC-COMP-003,小屏幕设备测试,使用小屏幕手机,"1. 在小屏幕手机上打开选择照片弹窗
2. 检查弹窗显示","1. 弹窗正常显示
2. 无元素重叠",中,无
TC-COMP-004,大屏幕设备测试,使用大屏幕手机/平板,"1. 在大屏幕设备上打开选择照片弹窗
2. 检查弹窗显示","1. 弹窗正常显示
2. 布局适配正确",中,无
TC-COMP-005,横竖屏切换测试,使用支持横竖屏的设备,"1. 在竖屏模式下打开弹窗
2. 切换到横屏模式
3. 检查弹窗显示","1. 竖屏模式显示正常
2. 横屏模式显示正常
3. 弹窗正确适配",中,无
