用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-CM-011,帖子文字标题显示测试,进入社区动态页,"1. 观察帖子标题文字
2. 检查文字样式
3. 验证文字内容","1. 帖子标题正常显示
2. 字体样式符合设计
3. 文字内容准确",中,UI测试
TC-CM-012,点击帖子进入详情测试,进入社区动态页,"1. 点击任意帖子卡片
2. 观察页面跳转","1. 点击有响应反馈
2. 成功跳转到帖子详情页",高,功能测试
TC-CM-013,底部导航云相册测试,进入社区动态页,"1. 点击底部""云相册""导航
2. 观察页面跳转","1. 导航点击有反馈
2. 成功跳转到云相册页面",高,功能测试
TC-CM-014,底部导航拍立得测试,进入社区动态页,"1. 点击底部""拍立得""导航
2. 观察页面状态","1. 拍立得导航保持选中状态
2. 停留在当前页面或正确跳转",高,功能测试
TC-CM-015,底部导航我的测试,进入社区动态页,"1. 点击底部""我的""导航
2. 观察页面跳转","1. 导航点击有反馈
2. 成功跳转到个人中心页面",高,功能测试
TC-CM-016,底部导航选中状态测试,进入社区动态页,"1. 观察底部导航状态
2. 点击其他导航
3. 观察选中状态变化","1. ""拍立得""默认选中
2. 点击其他导航后选中状态切换
3. 选中样式符合设计",高,UI测试
TC-CM-017,下拉刷新功能测试,在社区动态页,"1. 在列表顶部向下拉动
2. 观察刷新动画
3. 检查刷新后内容","1. 下拉触发刷新
2. 刷新动画正常显示
3. 刷新成功，内容更新",高,功能测试
TC-CM-018,上拉加载更多测试,在社区动态页，有更多内容可加载,"1. 滚动到列表底部
2. 观察加载状态
3. 检查新加载内容","1. 滚动到底部触发加载
2. 加载状态正常显示
3. 新内容成功加载并显示",高,功能测试
TC-CM-019,顶部标签栏UI样式测试,进入社区动态页,"1. 观察标签栏整体样式
2. 检查标签文字样式
3. 验证选中标签样式","1. 标签栏样式符合设计
2. 标签文字清晰可读
3. 选中标签样式正确",中,UI测试
TC-CM-020,排序按钮UI样式测试,进入社区动态页,"1. 观察排序按钮默认样式
2. 点击按钮观察选中样式
3. 检查按钮文字样式","1. 默认样式符合设计
2. 选中状态有视觉反馈
3. 按钮文字清晰可读",中,UI测试
TC-CM-021,帖子卡片UI布局测试,进入社区动态页,"1. 检查帖子卡片布局
2. 验证卡片间距
3. 检查两列布局对齐","1. 卡片布局整齐美观
2. 卡片间距符合设计
3. 两列布局对齐一致",中,UI测试
TC-CM-022,底部导航栏UI样式测试,进入社区动态页,"1. 观察底部导航整体样式
2. 检查图标显示
3. 验证文字样式","1. 底部导航栏样式符合设计
2. 图标清晰显示
3. 文字样式正确",中,UI测试
TC-CM-023,网络异常处理测试,断开网络连接,"1. 尝试刷新页面
2. 观察错误提示
3. 恢复网络重试","1. 有网络异常提示
2. 提示信息友好清晰
3. 恢复网络后可正常重试",高,边界测试
TC-CM-024,空数据状态测试,无帖子内容,"1. 进入对应页面
2. 观察空状态展示","1. 空状态页面正常显示
2. 有友好的空状态提示",中,边界测试
TC-CM-025,快速切换标签测试,进入社区动态页,"1. 快速连续点击顶部标签
2. 观察页面响应
3. 检查最终显示内容","1. 快速切换不崩溃
2. 页面响应稳定
3. 最终显示正确内容",中,边界测试
TC-CM-026,颜色主题一致性测试,进入社区动态页,"1. 检查页面主色调
2. 验证辅助色使用
3. 检查整体视觉风格","1. 主色调统一
2. 辅助色使用合理
3. 整体视觉风格一致",低,UI测试
TC-CM-027,未登录状态访问测试,用户未登录,"1. 访问社区动态页
2. 观察页面状态","1. 可浏览公共内容
2. 或有登录引导提示",中,边界测试
TC-CM-028,分页加载全部内容测试,有大量帖子内容,"1. 多次上拉加载
2. 直到加载完全部内容
3. 检查底部提示","1. 每次加载正常
2. 全部内容加载完成
3. 有明确的没有更多内容提示",中,边界测试
TC-CM-029,按钮交互反馈测试,进入社区动态页,"1. 点击标签按钮
2. 点击排序按钮
3. 点击底部导航","1. 点击有视觉反馈
2. 交互响应及时
3. 状态变化正确",中,交互测试
TC-CM-030,响应式布局测试,进入社区动态页,"1. 在不同屏幕尺寸查看
2. 检查布局适配
3. 验证元素显示","1. 布局在不同尺寸正常适配
2. 无元素重叠或错位
3. 两列布局保持合理",中,UI测试
TC-CM-031,安卓系统兼容性测试,使用安卓设备,"1. 在安卓系统打开社区动态页
2. 测试所有功能
3. 检查显示效果","1. 页面在安卓系统正常加载
2. 所有功能正常工作
3. 显示效果符合设计要求",高,兼容性测试
TC-CM-032,iOS苹果系统兼容性测试,使用iOS设备（iPhone/iPad）,"1. 在iOS系统打开社区动态页
2. 测试所有功能
3. 检查显示效果","1. 页面在iOS系统正常加载
2. 所有功能正常工作
3. 显示效果符合设计要求",高,兼容性测试
TC-CM-033,小屏幕设备适配测试,使用小屏幕手机（如iPhone SE）,"1. 在小屏幕设备打开页面
2. 检查顶部标签栏显示
3. 检查帖子卡片布局
4. 检查底部导航","1. 页面在小屏幕正常显示
2. 所有元素完整可见
3. 无内容被截断
4. 交互区域可正常操作",高,兼容性测试
TC-CM-034,大屏幕设备适配测试,使用大屏幕手机/平板设备,"1. 在大屏幕设备打开页面
2. 检查两列布局展示
3. 检查元素间距
4. 测试整体效果","1. 页面在大屏幕正常显示
2. 两列布局合理展示
3. 元素间距适当
4. 整体体验良好",中,兼容性测试
TC-CM-035,竖屏显示测试,设备为竖屏状态,"1. 在竖屏状态查看页面
2. 检查所有UI元素
3. 测试交互功能","1. 页面在竖屏正常显示
2. 布局适配竖屏
3. 所有功能正常",高,兼容性测试
TC-CM-036,横屏显示测试,设备为横屏状态,"1. 旋转设备到横屏
2. 检查页面布局适配
3. 测试功能是否正常","1. 页面在横屏正常显示
2. 布局适配横屏
3. 所有功能正常工作",高,兼容性测试
TC-CM-037,不同分辨率适配测试,使用不同分辨率设备,"1. 在低分辨率设备测试
2. 在中等分辨率设备测试
3. 在高分辨率设备测试","1. 页面在各分辨率显示正常
2. 文字清晰可
3. 图片无模糊或拉伸",中,兼容性测试
TC-CM-038,安卓老版本系统兼容性测试,使用安卓较低版本系统（如Android 8/9）,"1. 在老版本安卓打开页面
2. 测试核心功能
3. 检查兼容性表现","1. 页面在老版本正常加载
2. 核心功能正常使用
3. 无严重兼容性问题",中,兼容性测试
TC-CM-039,iOS老版本系统兼容性测试,使用iOS较低版本系统（如iOS 12/13）,"1. 在老版本iOS打开页面
2. 测试核心功能
3. 检查兼容性表现","1. 页面在老版本正常加载
2. 核心功能正常使用
3. 无严重兼容性问题",中,兼容性测试
TC-CM-040,不同设备切换横竖屏测试,进入社区动态页,"1. 在竖屏使用功能
2. 旋转到横屏
3. 在横屏使用功能
4. 再旋转回竖屏","1. 横竖屏切换流畅
2. 布局自适应正确
3. 功能在横竖屏都正常
4. 无内容丢失或错乱",高,兼容性测试
TC-CM-041,帖子详情页加载显示测试,从社区动态页进入帖子详情,"1. 点击帖子进入详情
2. 观察页面加载
3. 检查所有UI元素","1. 页面正常加载
2. 帖子内容完整显示
3. 所有UI元素符合设计",高,功能测试
TC-CM-042,帖子详情页头像点击跳转测试,在帖子详情页,"1. 点击左上角用户头像
2. 观察页面跳转","1. 头像点击有响应
2. 成功跳转到个人信息页",高,功能测试
TC-CM-043,帖子详情页右上角下拉菜单测试,在帖子详情页,"1. 点击右上角下拉箭头
2. 观察菜单展开
3. 检查菜单选项","1. 下拉菜单正常展开
2. 显示举报等选项
3. 菜单样式符合设计",中,功能测试
TC-CM-044,点击举报功能跳转到举报页面测试,帖子详情页下拉菜单已展开,"1. 点击""举报""选项
2. 观察页面跳转
3. 检查举报页面","1. 举报选项点击有响应
2. 成功跳转到举报页面
3. 举报页面正常显示",高,功能测试
TC-CM-045,个人信息页加载显示测试,从帖子详情页跳转进入个人信息页,"1. 观察页面加载
2. 检查个人信息展示
3. 检查帖子列表","1. 个人信息页正常加载
2. 用户信息正确显示
3. 用户帖子列表正常展示",高,功能测试
TC-CM-046,个人信息页返回帖子详情页测试,在个人信息页,"1. 点击返回按钮
2. 观察页面跳转","1. 返回按钮可点击
2. 成功返回到帖子详情页",高,功能测试
TC-CM-047,个人信息页点击帖子进入详情测试,在个人信息页,"1. 点击任意用户帖子
2. 观察页面跳转","1. 帖子卡片可点击
2. 成功跳转到该帖子详情页",高,功能测试
TC-CM-048,帖子详情再次点击头像不跳转测试,从个人信息页再次进入帖子详情,"1. 再次点击左上角用户头像
2. 观察页面反应","1. 头像无跳转反应
2. 保持在当前帖子详情页
3. 无错误或异常",高,功能测试
TC-CM-049,帖子详情页UI样式测试,在帖子详情页,"1. 检查页面布局
2. 检查文字样式
3. 检查图片展示","1. 布局符合设计要求
2. 文字清晰可读
3. 图片正常显示",中,UI测试
TC-CM-050,个人信息页UI样式测试,在个人信息页,"1. 检查用户信息区域
2. 检查帖子列表布局
3. 检查整体视觉风格","1. 用户信息展示美观
2. 帖子列表布局合理
3. 整体风格与其他页一致",中,UI测试
TC-CM-051,完整页面跳转流程测试,在社区动态页,"1. 点击帖子进入详情
2. 点击头像到个人信息页
3. 点击返回回到详情
4. 点击帖子再次验证
5. 再次点击头像不跳转","1. 完整流程正常进行
2. 所有跳转正确
3. 最后一次点击头像不跳转",高,功能测试
