用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-INT-002,开始扫描按钮悬停效果,打开蓝牙配网页面,"1. 鼠标悬停在""开始扫描设备""按钮上",1. 按钮显示悬停效果,中,无
TC-INT-003,返回按钮点击反馈,打开蓝牙配网页面,1. 点击返回按钮,1. 返回按钮显示点击反馈,中,无
TC-INT-004,开始扫描按钮点击反馈,打开蓝牙配网页面,"1. 点击""开始扫描设备""按钮",1. 按钮显示点击反馈,中,无
TC-INT-005,扫描动画播放,点击开始扫描后,1. 观察扫描动画,"1. 扫描动画开始播放
2. 动画效果流畅",高,无
TC-INT-006,页面加载动画,刚打开蓝牙配网页面,1. 观察页面加载效果,"1. 页面元素按顺序加载
2. 加载动画流畅",中,无
TC-EDGE-001,蓝牙未开启时扫描,手机蓝牙未开启,"1. 点击""开始扫描设备""按钮","1. 提示需要开启蓝牙
2. 引导用户去设置中开启蓝牙",高,无
TC-EDGE-002,扫描超时,开始扫描设备,1. 等待扫描超时,"1. 显示扫描超时提示
2. 提供重新扫描选项",中,无
TC-EDGE-003,未扫描到设备,扫描完成,1. 观察扫描结果,"1. 显示未扫描到设备提示
2. 提供重新扫描选项",中,无
TC-EDGE-004,连接设备失败,点击连接某个设备,1. 等待连接结果,"1. 显示连接失败提示
2. 提供重试选项",中,无
TC-EDGE-005,扫描过程中退出页面,正在扫描设备,1. 点击返回按钮,"1. 停止扫描
2. 返回到上一页",中,无
TC-COMP-001,iPhone 设备测试,使用 iPhone 设备,"1. 在 iPhone 上打开蓝牙配网页面
2. 检查页面显示
3. 测试扫描功能","1. 页面正常显示
2. 布局适配正确
3. 扫描功能正常",高,无
TC-COMP-002,Android 设备测试,使用 Android 设备,"1. 在 Android 上打开蓝牙配网页面
2. 检查页面显示
3. 测试扫描功能","1. 页面正常显示
2. 布局适配正确
3. 扫描功能正常",高,无
TC-COMP-003,小屏幕设备测试,使用小屏幕手机,"1. 在小屏幕手机上打开蓝牙配网页面
2. 检查页面显示","1. 页面正常显示
2. 无元素重叠",中,无
TC-COMP-004,大屏幕设备测试,使用大屏幕手机/平板,"1. 在大屏幕设备上打开蓝牙配网页面
2. 检查页面显示","1. 页面正常显示
2. 布局适配正确",中,无
TC-COMP-005,横竖屏切换测试,使用支持横竖屏的设备,"1. 在竖屏模式下打开页面
2. 切换到横屏模式
3. 检查页面显示","1. 竖屏模式显示正常
2. 横屏模式显示正常
3. 布局正确适配",中,无
TC-COMP-006,不同 iOS 版本测试,使用不同 iOS 版本的设备,"1. 在 iOS 14 上测试
2. 在 iOS 15 上测试
3. 在 iOS 16 上测试","1. iOS 14 显示正常
2. iOS 15 显示正常
3. iOS 16 显示正常",中,无
TC-COMP-007,不同 Android 版本测试,使用不同 Android 版本的设备,"1. 在 Android 10 上测试
2. 在 Android 11 上测试
3. 在 Android 12 上测试","1. Android 10 显示正常
2. Android 11 显示正常
3. Android 12 显示正常",中,无
