用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-UI-014,弹窗整体布局检查,打开设备控制弹窗,"1. 观察弹窗整体布局
2. 检查各选项间距
3. 检查弹窗尺寸
4. 检查弹窗圆角","1. 整体布局整齐美观
2. 各选项间距合理
3. 弹窗尺寸符合设计
4. 弹窗圆角符合设计",高,无
TC-UI-015,遮罩层检查,打开设备控制弹窗,"1. 观察遮罩层效果
2. 检查遮罩层颜色
3. 检查遮罩层透明度","1. 遮罩层显示在弹窗下方
2. 遮罩层颜色符合设计
3. 遮罩层透明度符合设计",中,无
TC-UI-016,颜色和样式检查,打开设备控制弹窗,"1. 观察整体颜色搭配
2. 检查按钮颜色
3. 检查文字颜色
4. 检查开关颜色","1. 整体颜色搭配和谐
2. 按钮颜色符合设计
3. 文字颜色符合设计
4. 开关颜色符合设计",中,无
TC-UI-017,选项间距检查,打开设备控制弹窗,"1. 检查各选项之间的垂直间距
2. 检查选项与弹窗边缘的间距","1. 选项间距符合设计要求
2. 选项与弹窗边缘间距符合设计要求",中,无
TC-INT-001,关闭按钮悬停效果,打开设备控制弹窗,1. 鼠标悬停在关闭按钮上,1. 关闭按钮显示悬停效果,中,无
TC-INT-002,选项悬停效果,打开设备控制弹窗,"1. 鼠标悬停在蓝牙名称选项上
2. 鼠标悬停在音量大小选项上
3. 鼠标悬停在照片管理选项上
4. 鼠标悬停在滤镜管理选项上","1. 蓝牙名称选项显示悬停效果
2. 音量大小选项显示悬停效果
3. 照片管理选项显示悬停效果
4. 滤镜管理选项显示悬停效果",中,无
TC-INT-003,完成设置按钮悬停效果,打开设备控制弹窗,"1. 鼠标悬停在""完成设置""按钮上",1. 按钮显示悬停效果,中,无
TC-INT-004,开关切换动画,打开设备控制弹窗,"1. 点击声音开关
2. 点击闪光灯开关","1. 声音开关切换动画流畅
2. 闪光灯开关切换动画流畅",中,无
TC-INT-005,弹窗打开动画,在拍立得主页面,1. 触发打开设备控制弹窗,1. 弹窗以动画形式打开,中,无
TC-INT-006,弹窗关闭动画,打开设备控制弹窗,1. 点击关闭按钮,1. 弹窗以动画形式关闭,中,无
TC-INT-007,按钮点击反馈,打开设备控制弹窗,"1. 点击关闭按钮
2. 点击完成设置按钮","1. 关闭按钮显示点击反馈
2. 完成设置按钮显示点击反馈",中,无
TC-INT-008,选项点击反馈,打开设备控制弹窗,"1. 点击蓝牙名称选项
2. 点击音量大小选项
3. 点击照片管理选项
4. 点击滤镜管理选项","1. 蓝牙名称选项显示点击反馈
2. 音量大小选项显示点击反馈
3. 照片管理选项显示点击反馈
4. 滤镜管理选项显示点击反馈",中,无
TC-EDGE-001,修改设置后关闭弹窗,打开设备控制弹窗，已修改设置,1. 点击关闭按钮,"1. 提示是否保存修改
2. 或自动保存修改",高,需确认预期行为
TC-EDGE-002,无连接设备时显示,设备未连接,1. 打开设备控制弹窗,"1. 显示设备未连接提示
2. 部分选项可能禁用",中,无
TC-EDGE-003,设置保存失败,打开设备控制弹窗，修改设置,"1. 点击""完成设置""按钮","1. 显示保存失败提示
2. 提供重试选项",中,无
TC-EDGE-004,快速连续开关,打开设备控制弹窗,"1. 快速连续点击声音开关
2. 快速连续点击闪光灯开关","1. 声音开关响应正常
2. 闪光灯开关响应正常",中,无
TC-COMP-001,iPhone 设备测试,使用 iPhone 设备,"1. 在 iPhone 上打开设备控制弹窗
2. 检查页面显示
3. 测试所有功能","1. 弹窗正常显示
2. 布局适配正确
3. 所有功能正常",高,无
TC-COMP-002,Android 设备测试,使用 Android 设备,"1. 在 Android 上打开设备控制弹窗
2. 检查页面显示
3. 测试所有功能","1. 弹窗正常显示
2. 布局适配正确
3. 所有功能正常",高,无
TC-COMP-003,小屏幕设备测试,使用小屏幕手机,"1. 在小屏幕手机上打开设备控制弹窗
2. 检查弹窗显示","1. 弹窗正常显示
2. 无元素重叠",中,无
TC-COMP-004,大屏幕设备测试,使用大屏幕手机/平板,"1. 在大屏幕设备上打开设备控制弹窗
2. 检查弹窗显示","1. 弹窗正常显示
2. 布局适配正确",中,无
TC-COMP-005,横竖屏切换测试,使用支持横竖屏的设备,"1. 在竖屏模式下打开弹窗
2. 切换到横屏模式
3. 检查弹窗显示","1. 竖屏模式显示正常
2. 横屏模式显示正常
3. 弹窗正确适配",中,无
