用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-UI-008,存储设备未连接状态检查,在存储设备标签页，设备未连接,"1. 检查状态文字
2. 检查状态颜色
3. 检查设备卡片样式","1. 状态文字为""未连接""
2. 状态颜色符合设计
3. 设备卡片样式符合未连接状态",高,无
TC-UI-009,存储设备已连接状态检查,在存储设备标签页，设备已连接,"1. 检查状态文字
2. 检查状态颜色
3. 检查信号图标
4. 检查设备卡片样式","1. 状态文字为""已连接""
2. 状态颜色符合设计
3. 信号图标显示正确
4. 设备卡片样式符合已连接状态",高,无
TC-UI-010,云空间进度条检查,在拍立得标签页,"1. 检查云空间标签
2. 检查已用/总空间文字
3. 检查进度条","1. 云空间标签显示正确
2. 已用/总空间文字显示正确
3. 进度条显示正确",高,无
TC-UI-011,本地空间进度条检查,在存储设备标签页,"1. 检查本地空间标签
2. 检查已用/总空间文字
3. 检查进度条","1. 本地空间标签显示正确
2. 已用/总空间文字显示正确
3. 进度条显示正确",高,无
TC-UI-012,存储设备标签页云空间检查,在存储设备标签页,"1. 检查云空间标签
2. 检查已用/总空间文字
3. 检查进度条","1. 云空间标签显示正确
2. 已用/总空间文字显示正确
3. 进度条显示正确",高,无
TC-UI-013,备份相册和设置检查,打开"我的"页面,"1. 检查""备份相册""选项
2. 检查""设置""选项
3. 检查右侧箭头图标","1. ""备份相册""显示正确
2. ""设置""显示正确
3. 箭头图标显示正确",高,无
TC-UI-014,底部导航栏检查,打开"我的"页面,"1. 检查云相册按钮
2. 检查拍立得按钮
3. 检查我的按钮
4. 检查选中状态","1. 云相册按钮显示正确
2. 拍立得按钮显示正确
3. 我的按钮显示正确
4. 我的按钮显示选中状态",高,无
TC-UI-015,整体页面布局检查,打开"我的"页面,"1. 观察整体页面布局
2. 检查各区域间距
3. 检查元素对齐
4. 检查页面背景","1. 整体布局整齐美观
2. 各区域间距合理
3. 元素对齐正确
4. 页面背景符合设计",高,无
TC-UI-016,颜色和样式检查,打开"我的"页面,"1. 观察整体颜色搭配
2. 检查按钮颜色
3. 检查文字颜色
4. 检查进度条颜色","1. 整体颜色搭配和谐
2. 按钮颜色符合设计
3. 文字颜色符合设计
4. 进度条颜色符合设计",中,无
TC-INT-001,标签切换动画,打开"我的"页面,"1. 点击""拍立得""标签
2. 点击""存储设备""标签","1. 拍立得标签切换动画流畅
2. 存储设备标签切换动画流畅",中,无
TC-INT-002,设备连接动画,在拍立得或存储设备标签页,1. 连接设备,"1. 设备连接动画流畅
2. 状态变化自然",中,无
TC-INT-003,选项悬停效果,打开"我的"页面,"1. 鼠标悬停在云空间上
2. 鼠标悬停在备份相册上
3. 鼠标悬停在设置上","1. 云空间显示悬停效果
2. 备份相册显示悬停效果
3. 设置显示悬停效果",中,无
TC-INT-004,按钮点击反馈,打开"我的"页面,"1. 点击云空间
2. 点击备份相册
3. 点击设置","1. 云空间显示点击反馈
2. 备份相册显示点击反馈
3. 设置显示点击反馈",中,无
TC-INT-005,页面加载动画,刚打开"我的"页面,1. 观察页面加载效果,"1. 页面元素按顺序加载
2. 加载动画流畅",中,无
TC-EDGE-001,云空间已满,在拍立得标签页，云空间已满,1. 观察云空间进度条,"1. 进度条显示已满
2. 可能提示空间不足",中,无
TC-EDGE-002,本地空间已满,在存储设备标签页，本地空间已满,1. 观察本地空间进度条,"1. 进度条显示已满
2. 可能提示空间不足",中,无
TC-EDGE-003,设备连接失败,尝试连接设备,1. 点击连接设备,"1. 显示连接失败提示
2. 提供重试选项",中,无
TC-EDGE-004,设备断开连接,设备已连接,"1. 设备断开连接
2. 观察状态变化","1. 显示断开状态
2. 可能提示设备已断开",中,无
TC-COMP-001,iPhone 设备测试,使用 iPhone 设备,"1. 在 iPhone 上测试""我的""页面
2. 测试拍立得标签
3. 测试存储设备标签
4. 测试连接/未连接状态","1. ""我的""页面正常显示
2. 拍立得标签正常
3. 存储设备标签正常
4. 连接状态显示正常",高,无
TC-COMP-002,Android 设备测试,使用 Android 设备,"1. 在 Android 上测试""我的""页面
2. 测试拍立得标签
3. 测试存储设备标签
4. 测试连接/未连接状态","1. ""我的""页面正常显示
2. 拍立得标签正常
3. 存储设备标签正常
4. 连接状态显示正常",高,无
TC-COMP-003,小屏幕设备测试,使用小屏幕手机,"1. 在小屏幕手机上测试""我的""页面
2. 检查页面显示","1. ""我的""页面正常显示
2. 无元素重叠",中,无
TC-COMP-004,大屏幕设备测试,使用大屏幕手机/平板,"1. 在大屏幕设备上测试""我的""页面
2. 检查页面显示","1. ""我的""页面正常显示
2. 布局适配正确",中,无
TC-COMP-005,横竖屏切换测试,使用支持横竖屏的设备,"1. 在竖屏模式下测试
2. 切换到横屏模式
3. 检查页面显示","1. 竖屏模式显示正常
2. 横屏模式显示正常
3. 布局正确适配",中,无
