用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-UI-009,设备信息区域检查,设备配对成功,"1. 检查设备信息区域位置
2. 检查""设备已就绪""文字
3. 检查设备名称显示
4. 检查信息卡片样式","1. 设备信息区域位于图标下方
2. ""设备已就绪""文字正确
3. 设备名称正确显示
4. 信息卡片样式符合设计",高,无
TC-UI-010,连接状态信息检查,设备配对成功,"1. 检查""连接转态""标签
2. 检查连接状态值
3. 检查状态颜色","1. 标签文字正确
2. 状态值为""已连接""
3. 状态颜色为绿色",中,无
TC-UI-011,型号强度信息检查,设备配对成功,"1. 检查""型号强度""标签
2. 检查型号强度值
3. 检查强度颜色","1. 标签文字正确
2. 强度值为""极佳""
3. 强度颜色为蓝色",中,无
TC-UI-012,固件版本信息检查,设备配对成功,"1. 检查""固件版本""标签
2. 检查固件版本值","1. 标签文字正确
2. 版本号正确显示",中,无
TC-UI-013,开始打印照片按钮检查,设备配对成功,"1. 检查按钮位置
2. 检查按钮文字
3. 检查按钮颜色
4. 检查按钮尺寸","1. 按钮位于信息下方
2. 按钮文字为""开始打印照片""
3. 按钮颜色为粉色
4. 按钮尺寸符合设计",高,无
TC-UI-014,断开连接按钮检查,设备配对成功,"1. 检查按钮位置
2. 检查按钮文字
3. 检查按钮样式
4. 检查按钮尺寸","1. 按钮位于""开始打印照片""下方
2. 按钮文字为""断开连接""
3. 按钮样式符合设计
4. 按钮尺寸符合设计",高,无
TC-UI-015,扫描页面整体布局检查,打开蓝牙配网页面,"1. 观察整体页面布局
2. 检查各区域间距
3. 检查元素对齐
4. 检查页面背景","1. 整体布局整齐美观
2. 各区域间距合理
3. 元素对齐正确
4. 页面背景符合设计",高,无
TC-UI-016,配对成功页面整体布局检查,设备配对成功,"1. 观察整体页面布局
2. 检查各区域间距
3. 检查元素对齐
4. 检查页面背景","1. 整体布局整齐美观
2. 各区域间距合理
3. 元素对齐正确
4. 页面背景符合设计",高,无
TC-UI-017,颜色和样式检查,打开蓝牙配网页面,"1. 观察整体颜色搭配
2. 检查按钮颜色
3. 检查文字颜色
4. 检查图标颜色","1. 整体颜色搭配和谐
2. 按钮颜色符合设计
3. 文字颜色符合设计
4. 图标颜色符合设计",中,无
TC-UI-018,步骤编号样式检查,打开蓝牙配网页面,"1. 检查步骤1编号样式
2. 检查步骤2编号样式
3. 检查编号颜色
4. 检查编号背景","1. 步骤1编号样式符合设计
2. 步骤2编号样式符合设计
3. 编号颜色符合设计
4. 编号背景符合设计",中,无
TC-INT-001,返回按钮悬停效果,打开蓝牙配网页面,1. 鼠标悬停在返回按钮上,1. 返回按钮显示悬停效果,中,无
TC-INT-002,开始扫描按钮悬停效果,打开蓝牙配网页面,"1. 鼠标悬停在""开始扫描设备""按钮上",1. 按钮显示悬停效果,中,无
TC-INT-003,开始打印照片按钮悬停效果,设备配对成功,"1. 鼠标悬停在""开始打印照片""按钮上",1. 按钮显示悬停效果,中,无
TC-INT-004,断开连接按钮悬停效果,设备配对成功,"1. 鼠标悬停在""断开连接""按钮上",1. 按钮显示悬停效果,中,无
TC-INT-005,按钮点击反馈,打开蓝牙配网页面,"1. 点击返回按钮
2. 点击开始扫描按钮","1. 返回按钮显示点击反馈
2. 开始扫描按钮显示点击反馈",中,无
TC-INT-006,配对成功页面按钮点击反馈,设备配对成功,"1. 点击开始打印照片按钮
2. 点击断开连接按钮","1. 开始打印照片按钮显示点击反馈
2. 断开连接按钮显示点击反馈",中,无
TC-INT-007,扫描动画播放,点击开始扫描后,1. 观察扫描动画,"1. 扫描动画开始播放
2. 动画效果流畅",高,无
TC-INT-008,配对成功动画,设备连接成功,1. 观察配对成功动画,"1. 配对成功动画播放
2. 动画效果流畅",高,无
TC-INT-009,页面加载动画,刚打开蓝牙配网页面,1. 观察页面加载效果,"1. 页面元素按顺序加载
2. 加载动画流畅",中,无
TC-INT-010,页面切换动画,扫描页面切换到配对成功页面,1. 观察页面切换动画,"1. 页面切换动画流畅
2. 切换效果自然",中,无
TC-EDGE-001,蓝牙未开启时扫描,手机蓝牙未开启,"1. 点击""开始扫描设备""按钮","1. 提示需要开启蓝牙
2. 引导用户去设置中开启蓝牙",高,无
TC-EDGE-002,扫描超时,开始扫描设备,1. 等待扫描超时,"1. 显示扫描超时提示
2. 提供重新扫描选项",中,无
TC-EDGE-003,未扫描到设备,扫描完成,1. 观察扫描结果,"1. 显示未扫描到设备提示
2. 提供重新扫描选项",中,无
TC-EDGE-004,连接设备失败,点击连接某个设备,1. 等待连接结果,"1. 显示连接失败提示
2. 提供重试选项",中,无
TC-EDGE-005,扫描过程中退出页面,正在扫描设备,1. 点击返回按钮,"1. 停止扫描
2. 返回到上一页",中,无
TC-EDGE-006,配对成功后断开连接,设备配对成功,"1. 点击""断开连接""按钮","1. 断开设备连接
2. 返回到扫描页面",中,无
TC-EDGE-007,设备断开后重新连接,设备已断开连接,"1. 点击重新扫描
2. 选择设备重新连接","1. 重新扫描设备
2. 成功连接设备",中,无
TC-COMP-001,iPhone 设备测试,使用 iPhone 设备,"1. 在 iPhone 上测试扫描页面
2. 测试配对成功页面
3. 测试扫描和连接功能","1. 扫描页面正常显示
2. 配对成功页面正常显示
3. 功能正常工作",高,无
TC-COMP-002,Android 设备测试,使用 Android 设备,"1. 在 Android 上测试扫描页面
2. 测试配对成功页面
3. 测试扫描和连接功能","1. 扫描页面正常显示
2. 配对成功页面正常显示
3. 功能正常工作",高,无
TC-COMP-003,小屏幕设备测试,使用小屏幕手机,"1. 在小屏幕手机上测试两个页面
2. 检查页面显示","1. 扫描页面正常显示
2. 配对成功页面正常显示
3. 无元素重叠",中,无
TC-COMP-004,大屏幕设备测试,使用大屏幕手机/平板,"1. 在大屏幕设备上测试两个页面
2. 检查页面显示","1. 扫描页面正常显示
2. 配对成功页面正常显示
3. 布局适配正确",中,无
TC-COMP-005,横竖屏切换测试,使用支持横竖屏的设备,"1. 在竖屏模式下测试
2. 切换到横屏模式
3. 检查两个页面显示","1. 竖屏模式显示正常
2. 横屏模式显示正常
3. 布局正确适配",中,无
TC-COMP-006,不同 iOS 版本测试,使用不同 iOS 版本的设备,"1. 在 iOS 14 上测试
2. 在 iOS 15 上测试
3. 在 iOS 16 上测试","1. iOS 14 显示正常
2. iOS 15 显示正常
3. iOS 16 显示正常",中,无
TC-COMP-007,不同 Android 版本测试,使用不同 Android 版本的设备,"1. 在 Android 10 上测试
2. 在 Android 11 上测试
3. 在 Android 12 上测试","1. Android 10 显示正常
2. Android 11 显示正常
3. Android 12 显示正常",中,无
