用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-UI-005,字数统计检查,打开创建帖子页面,"1. 检查字数统计位置
2. 检查字数统计文字
3. 检查字数统计字体
4. 检查字数统计颜色","1. 字数统计位于输入框右下角
2. 字数统计显示为0/500
3. 字体符合设计
4. 颜色符合设计",高,无
TC-UI-006,待发送图片区检查,打开创建帖子页面,"1. 检查待发送图片区标题
2. 检查图片区位置
3. 检查图片区样式","1. 标题为""待发送图片""
2. 图片区位于输入框下方
3. 图片区样式符合设计",高,无
TC-UI-007,图片预览检查,已添加图片到待发送图片区,"1. 检查图片显示
2. 检查图片尺寸
3. 检查图片清晰度","1. 图片正常显示
2. 图片尺寸符合设计
3. 图片显示清晰",中,无
TC-UI-008,整体页面布局检查,打开创建帖子页面,"1. 观察整体页面布局
2. 检查各区域间距
3. 检查元素对齐
4. 检查页面背景","1. 整体布局整齐美观
2. 各区域间距合理
3. 元素对齐正确
4. 页面背景符合设计",高,无
TC-UI-009,颜色和样式检查,打开创建帖子页面,"1. 观察整体颜色搭配
2. 检查按钮颜色
3. 检查文字颜色
4. 检查输入框颜色","1. 整体颜色搭配和谐
2. 按钮颜色符合设计
3. 文字颜色符合设计
4. 输入框颜色符合设计",中,无
TC-INT-001,关闭按钮悬停效果,打开创建帖子页面,1. 鼠标悬停在关闭按钮上,1. 关闭按钮显示悬停效果,中,无
TC-INT-002,发送按钮悬停效果,打开创建帖子页面,1. 鼠标悬停在发送按钮上,1. 发送按钮显示悬停效果,中,无
TC-INT-003,输入框焦点交互,打开创建帖子页面,1. 点击文本输入框,"1. 输入框获得焦点
2. 光标闪烁显示",高,无
TC-INT-004,按钮点击反馈,打开创建帖子页面,"1. 点击关闭按钮
2. 点击发送按钮","1. 关闭按钮显示点击反馈
2. 发送按钮显示点击反馈",中,无
TC-INT-005,页面打开动画,从上一页进入,1. 打开创建帖子页面,1. 页面以动画形式打开,中,无
TC-EDGE-001,最大字数输入,打开创建帖子页面,1. 输入500个文字,"1. 字数统计显示为500/500
2. 无法继续输入更多文字",高,无
TC-EDGE-002,超过最大字数输入,打开创建帖子页面,1. 尝试输入超过500个文字,"1. 超过部分无法输入
2. 或提示已达最大字数",高,无
TC-EDGE-003,特殊字符输入,打开创建帖子页面,1. 输入特殊字符（@#$%^&*）,1. 特殊字符正常输入显示,中,无
TC-EDGE-004,发送失败,打开创建帖子页面，已输入内容,"1. 点击""发送""按钮","1. 显示发送失败提示
2. 提供重试选项",中,无
TC-EDGE-005,未输入内容关闭页面,打开创建帖子页面，未输入内容,1. 点击关闭按钮,"1. 直接关闭页面
2. 或提示是否保存草稿",中,需确认预期行为
TC-EDGE-006,已输入内容关闭页面,打开创建帖子页面，已输入内容,1. 点击关闭按钮,"1. 提示是否保存草稿
2. 或直接关闭页面",中,需确认预期行为
TC-COMP-001,iPhone 设备测试,使用 iPhone 设备,"1. 在 iPhone 上打开创建帖子页面
2. 检查页面显示
3. 测试文本输入
4. 测试发送功能","1. 页面正常显示
2. 布局适配正确
3. 文本输入正常
4. 发送功能正常",高,无
TC-COMP-002,Android 设备测试,使用 Android 设备,"1. 在 Android 上打开创建帖子页面
2. 检查页面显示
3. 测试文本输入
4. 测试发送功能","1. 页面正常显示
2. 布局适配正确
3. 文本输入正常
4. 发送功能正常",高,无
TC-COMP-003,小屏幕设备测试,使用小屏幕手机,"1. 在小屏幕手机上打开创建帖子页面
2. 检查页面显示","1. 页面正常显示
2. 无元素重叠",中,无
TC-COMP-004,大屏幕设备测试,使用大屏幕手机/平板,"1. 在大屏幕设备上打开创建帖子页面
2. 检查页面显示","1. 页面正常显示
2. 布局适配正确",中,无
TC-COMP-005,横竖屏切换测试,使用支持横竖屏的设备,"1. 在竖屏模式下打开页面
2. 切换到横屏模式
3. 检查页面显示","1. 竖屏模式显示正常
2. 横屏模式显示正常
3. 布局正确适配",中,无
