用例ID,模块,接口名称,用例标题,请求方法,请求路径,请求头,请求体,前置条件,测试步骤,预期结果,优先级,备注,结果
REMOTEPRINT-002,远程打印,创建打印上传任务,创建任务-文件大小超限,POST,/mbServer/remotePrint,"{""Authorization"": ""{{access_token}}""}","{""method"": ""createPrintTask"",""data"": {""file_name"": ""photo.jpg"",""file_size"": 9999999999,""mime_type"": ""image/jpeg""}}",已登录,1.尝试创建超大文件任务 2.检查大小限制,返回错误或拒绝处理,中,边界值,PASS
REMOTEPRINT-003,远程打印,通知服务端上传成功,正常通知上传成功,POST,/mbServer/remotePrint,"{""Authorization"": ""{{access_token}}""}","{""method"": ""notifyUploadSuccess"",""data"": {""task_id"": ""{{print_task_id}}"",""object_key"": ""{{oss_objectKey}}""}}",任务已上传,1.通知上传成功 2.检查任务状态变更,返回code=1，任务状态更新,高,正常流程,PASS
REMOTEPRINT-004,远程打印,通知服务端上传成功,通知-无效的task_id,POST,/mbServer/remotePrint,"{""Authorization"": ""{{access_token}}""}","{""method"": ""notifyUploadSuccess"",""data"": {""task_id"": ""INVALID_TASK"",""object_key"": ""{{oss_objectKey}}""}}",无,1.使用无效task_id通知 2.检查错误处理,返回错误提示,中,异常流程,PASS
ACCOUNT-001,账号相关,账号恢复,正常账号恢复,POST,/mbServer/users,"{""Authorization"": ""{{access_token}}""}","{""method"": ""recoverAccount"",""data"": {""phone"": ""15606904001"",""verify_code"": ""123456""}}",已注册账号,1.提交账号恢复请求 2.检查恢复结果,返回code=1，账号恢复成功,高,正常流程,PASS
ACCOUNT-002,账号相关,账号恢复,账号恢复-验证码错误,POST,/mbServer/users,"{""Authorization"": ""{{access_token}}""}","{""method"": ""recoverAccount"",""data"": {""phone"": ""15606904001"",""verify_code"": ""000000""}}",已注册账号,1.使用错误验证码恢复 2.检查安全校验,返回错误提示,高,异常流程,PASS
ACCOUNT-003,账号相关,账号恢复,账号恢复-未注册手机号,POST,/mbServer/users,"{""Authorization"": ""{{access_token}}""}","{""method"": ""recoverAccount"",""data"": {""phone"": ""13900000000"",""verify_code"": ""123456""}}",无,1.尝试恢复未注册的账号 2.检查错误处理,返回错误提示,中,异常流程,PASS
OVERSEAS-001,海外,第三方登录,正常第三方登录-Apple,POST,/mbServer/users,,"{""method"": ""thirdPartyLogin"",""data"": {""platform"": ""apple"",""open_id"": ""test_open_id"",""id_token"": ""test_id_token""}}",无,1.提交Apple登录请求 2.检查登录结果,返回code=1，包含access_token,高,正常流程,PASS
OVERSEAS-002,海外,第三方登录,第三方登录-无效平台,POST,/mbServer/users,,"{""method"": ""thirdPartyLogin"",""data"": {""platform"": ""invalid_platform"",""open_id"": ""test_open_id"",""id_token"": ""test_id_token""}}",无,1.使用无效平台登录 2.检查错误处理,返回错误提示,中,异常流程,PASS
PRODUCTION-001,拍立得产测,测试数据上报,正常上报测试数据,POST,/mbServer/production,,"{""method"": ""reportTestData"",""data"": {""sn"": ""TEST123456"",""test_type"": ""function_test"",""result"": ""pass"",""details"": {}}}",无,1.提交测试数据 2.检查返回状态,返回code=1,高,正常流程,PASS
PRODUCTION-002,拍立得产测,获取未使用sn,正常获取未使用SN,POST,/mbServer/production,,"{""method"": ""getUnusedSN""}",无,1.请求未使用的SN列表 2.检查返回数据,返回code=1，包含可用SN列表,高,正常流程,PASS
PRODUCTION-003,拍立得产测,获取启用渠道商,正常获取渠道商,POST,/mbServer/production,,"{""method"": ""getEnabledChannels""}",无,1.请求渠道商列表 2.检查返回数据,返回code=1，包含渠道商列表,中,正常流程,PASS
PRODUCTION-004,拍立得产测,装箱,正常装箱操作,POST,/mbServer/production,,"{""method"": ""packDevice"",""data"": {""sn_list"": [""SN001"", ""SN002"", ""SN003""],""box_code"": ""BOX123456""}}",存在未装箱设备,1.提交装箱请求 2.检查设备绑定,返回code=1，设备绑定成功,高,正常流程,PASS
PRODUCTION-005,拍立得产测,装箱,装箱-设备已被使用,POST,/mbServer/production,,"{""method"": ""packDevice"",""data"": {""sn_list"": [""USED_SN""],""box_code"": ""BOX123456""}}",设备已被装箱,1.尝试装箱已使用的设备 2.检查重复处理,返回错误提示,中,异常流程,PASS
PRODUCTION-006,拍立得产测,根据箱码获取设备列表,正常获取设备列表,POST,/mbServer/production,,"{""method"": ""getDeviceListByBoxCode"",""data"": {""box_code"": ""BOX123456""}}",存在装箱记录,1.根据箱码查询设备 2.检查返回数据,返回code=1，包含设备列表,高,正常流程,PASS
PRODUCTION-007,拍立得产测,修改箱子设备,正常修改设备,POST,/mbServer/production,,"{""method"": ""updateBoxDevice"",""data"": {""box_code"": ""BOX123456"",""old_sn"": ""SN001"",""new_sn"": ""SN999""}}",存在装箱记录,1.提交设备修改请求 2.检查设备变更,返回code=1，设备SN更新,中,正常流程,PASS
PRODUCTION-008,拍立得产测,修改箱子设备,修改-新旧SN相同,POST,/mbServer/production,,"{""method"": ""updateBoxDevice"",""data"": {""box_code"": ""BOX123456"",""old_sn"": ""SN001"",""new_sn"": ""SN001""}}",存在装箱记录,1.提交新旧相同的修改 2.检查重复处理,返回错误或适当提示,低,异常流程,PASS
PRODUCTION-009,拍立得产测,获取未使用的sn码V2,正常获取SN列表V2,POST,/mbServer/production,,"{""method"": ""getUnusedSNV2"",""data"": {""quantity"": 10}}",无,1.请求指定数量SN 2.检查返回数据,返回code=1，包含指定数量SN,中,正常流程,PASS
PRODUCTION-010,拍立得产测,获取未使用的sn码V2,获取数量为0,POST,/mbServer/production,,"{""method"": ""getUnusedSNV2"",""data"": {""quantity"": 0}}",无,1.请求数量为0 2.检查边界值处理,返回空列表或错误,低,边界值,PASS
PRODUCTION-011,拍立得产测,获取生产中的批次号,正常获取批次号,POST,/mbServer/production,,"{""method"": ""getProductionBatchList""}",无,1.请求批次号列表 2.检查返回数据,返回code=1，包含批次列表,中,正常流程,PASS
PRODUCTION-012,拍立得产测,创建出货单,正常创建出货单,POST,/mbServer/production,,"{""method"": ""createDeliveryOrder"",""data"": {""box_codes"": [""BOX001"", ""BOX002""],""channel_id"": 1,""destination"": ""测试地址""}}",存在待出货箱子,1.创建出货单 2.检查出货单生成,返回code=1，包含delivery_id,高,正常流程,PASS
PRODUCTION-013,拍立得产测,创建出货单,出货单-空箱子列表,POST,/mbServer/production,,"{""method"": ""createDeliveryOrder"",""data"": {""box_codes"": [],""channel_id"": 1,""destination"": ""测试地址""}}",无,1.使用空列表创建出货单 2.检查参数校验,返回错误提示,中,异常流程,PASS
PRODUCTION-014,拍立得产测,通过箱码获取批次号列表,正常获取批次列表,POST,/mbServer/production,,"{""method"": ""getBatchListByBoxCode"",""data"": {""box_code"": ""BOX123456""}}",存在装箱记录,1.根据箱码查询批次 2.检查返回数据,返回code=1，包含批次列表,中,正常流程,PASS
COMMUNITY-001,社区分享-帖子相关,创建帖子,正常创建帖子,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""createPost"",""data"": {""content"": ""测试帖子内容"",""location"": ""杭州"",""tags"": [""测试"",""分享""]}}",已登录,1.提交创建帖子请求 2.检查帖子创建结果,返回code=1，包含post_id,高,正常流程,PASS
COMMUNITY-002,社区分享-帖子相关,创建帖子,创建帖子-内容为空,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""createPost"",""data"": {""content"": """",""location"": ""杭州"",""tags"": []}}",已登录,1.发送空内容帖子 2.检查内容校验,返回错误或内容长度提示,中,异常流程,PASS
COMMUNITY-003,社区分享-帖子相关,创建帖子,创建帖子-内容超长,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""createPost"",""data"": {""content"": ""内容超过最大长度限制的内容内容超过最大长度限制的内容..."",""location"": ""杭州"",""tags"": []}}",已登录,1.发送超长内容帖子 2.检查长度校验,返回错误或截断处理,中,边界值,PASS
COMMUNITY-004,社区分享-帖子相关,删除帖子,正常删除帖子,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""deletePost"",""data"": {""post_id"": {{new_post_id}}}}",帖子已创建,1.提交删除帖子请求 2.检查帖子删除状态,返回code=1，帖子已删除,高,正常流程,PASS
COMMUNITY-005,社区分享-帖子相关,删除帖子,删除帖子-不属于自己的帖子,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""deletePost"",""data"": {""post_id"": 99999}}",已登录,1.尝试删除他人帖子 2.检查权限校验,返回错误提示,中,异常流程,PASS
COMMUNITY-006,社区分享-帖子相关,获取oss上传凭证,正常获取上传凭证,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""generateUploadCredential"",""data"": {""post_id"": {{new_post_id}},""file_name"": ""photo.jpg"",""file_size"": 1024000,""mime_type"": ""image/jpeg""}}",帖子已创建,1.获取上传凭证 2.检查返回数据,返回code=1，包含object_key和上传地址,高,正常流程,PASS
COMMUNITY-007,社区分享-帖子相关,标记上传成功,正常标记上传成功,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""markUploadComplete"",""data"": {""object_key"": ""{{oss_objectKey}}"",""post_id"": {{new_post_id}},""original_file_name"": ""photo.jpg"",""file_size"": 1024000,""mime_type"": ""image/jpeg"",""width"": 1920,""height"": 1080,""sort_order"": 1}}",已上传文件,1.标记上传完成 2.检查文件信息保存,返回code=1,高,正常流程,PASS
COMMUNITY-008,社区分享-帖子相关,提交审核,正常提交审核,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""submitPostAudit"",""data"": {""post_id"": {{new_post_id}}}}",帖子已创建并上传图片,1.提交审核请求 2.检查审核状态,返回code=1，触发机器审核,高,正常流程,PASS
COMMUNITY-009,社区分享-帖子相关,提交审核,提交审核-帖子不存在,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""submitPostAudit"",""data"": {""post_id"": 99999}}",无,1.提交不存在的帖子审核 2.检查错误处理,返回错误提示,中,异常流程,PASS
COMMUNITY-010,社区分享-帖子相关,获取帖子列表,正常获取帖子列表,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""searchPosts"",""data"": {""page"": 1,""page_size"": 20,""sort_by"": ""latest""}}",已登录,1.请求帖子列表 2.检查返回数据结构,返回code=1，包含list和total,高,正常流程,PASS
COMMUNITY-011,社区分享-帖子相关,获取帖子列表,帖子列表-筛选条件测试,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""searchPosts"",""data"": {""page"": 1,""page_size"": 20,""sort_by"": ""most_likes"",""time_range"": ""7d""}}",已登录,1.使用筛选条件查询 2.检查筛选结果,返回符合筛选条件的结果,中,正常流程,PASS
COMMUNITY-012,社区分享-帖子相关,获取帖子详情,正常获取帖子详情,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getPostDetail"",""data"": {""post_id"": {{new_post_id}}}}",帖子已创建,1.请求帖子详情 2.检查返回完整数据,返回code=1，包含帖子详细信息,高,正常流程,PASS
COMMUNITY-013,社区分享-帖子相关,获取帖子详情,获取详情-帖子不存在,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getPostDetail"",""data"": {""post_id"": 99999}}",无,1.请求不存在的帖子详情 2.检查错误处理,返回错误提示,中,异常流程,PASS
COMMUNITY-014,社区分享-帖子相关,我的帖子列表,正常获取我的帖子,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getMyPosts"",""data"": {""page"": 1,""page_size"": 20}}",已登录,1.请求我的帖子列表 2.检查返回数据,返回code=1，只包含当前用户帖子,高,正常流程,PASS
COMMUNITY-015,社区分享-帖子相关,搜索标签,正常搜索标签,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""searchTags"",""data"": {""keyword"": ""测试""}}",已登录,1.搜索标签关键词 2.检查返回标签列表,返回code=1，包含匹配的标签,中,正常流程,PASS
COMMUNITY-016,社区分享-帖子相关,搜索用户,正常搜索用户,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""searchUsers"",""data"": {""keyword"": ""测试用户""}}",已登录,1.搜索用户关键词 2.检查返回用户列表,返回code=1，包含匹配的用户,中,正常流程,PASS
COMMUNITY-017,社区分享-帖子相关,推荐帖子,正常推荐帖子,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""recommendPost"",""data"": {""post_id"": {{new_post_id}}}}",已登录,1.推荐指定帖子 2.检查推荐状态,返回code=1，帖子被推荐,高,正常流程,PASS
COMMUNITY-018,社区分享-帖子相关,取消推荐,正常取消推荐,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""unrecommendPost"",""data"": {""post_id"": {{new_post_id}}}}",帖子已推荐,1.取消帖子推荐 2.检查推荐状态变更,返回code=1，推荐状态取消,高,正常流程,PASS
COMMUNITY-019,社区分享-点赞相关,点赞,正常点赞,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""likePost"",""data"": {""post_id"": {{new_post_id}}}}",已登录,1.提交点赞请求 2.检查点赞结果,返回code=1，点赞数+1,高,正常流程,PASS
COMMUNITY-020,社区分享-点赞相关,点赞,重复点赞,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""likePost"",""data"": {""post_id"": {{new_post_id}}}}",已点赞,1.重复点赞同一帖子 2.检查幂等性,返回code=1或错误提示,中,异常流程,PASS
COMMUNITY-021,社区分享-点赞相关,取消点赞,正常取消点赞,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""unlikePost"",""data"": {""post_id"": {{new_post_id}}}}",已点赞,1.取消点赞请求 2.检查取消结果,返回code=1，点赞数-1,高,正常流程,PASS
COMMUNITY-022,社区分享-点赞相关,取消点赞,未点赞却取消,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""unlikePost"",""data"": {""post_id"": {{new_post_id}}}}",未点赞,1.取消未点赞的帖子 2.检查错误处理,返回错误提示,中,异常流程,PASS
COMMUNITY-023,社区分享-点赞相关,获取点赞用户列表,正常获取点赞列表,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getLikeUsers"",""data"": {""post_id"": {{new_post_id}},""page"": 1,""page_size"": 20}}",已登录,1.请求点赞用户列表 2.检查返回数据,返回code=1，包含用户列表,中,正常流程,PASS
COMMUNITY-024,社区分享-收藏相关,收藏,正常收藏,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""collectPost"",""data"": {""post_id"": {{new_post_id}}}}",已登录,1.提交收藏请求 2.检查收藏结果,返回code=1，收藏成功,高,正常流程,PASS
COMMUNITY-025,社区分享-收藏相关,收藏,重复收藏,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""collectPost"",""data"": {""post_id"": {{new_post_id}}}}",已收藏,1.重复收藏同一帖子 2.检查幂等性,返回code=1或错误提示,中,异常流程,PASS
COMMUNITY-026,社区分享-收藏相关,取消收藏,正常取消收藏,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""uncollectPost"",""data"": {""post_id"": {{new_post_id}}}}",已收藏,1.取消收藏请求 2.检查取消结果,返回code=1，取消成功,高,正常流程,PASS
COMMUNITY-027,社区分享-收藏相关,获取收藏列表,正常获取收藏列表,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getCollectList"",""data"": {""page"": 1,""page_size"": 20}}",已登录,1.请求收藏列表 2.检查返回数据,返回code=1，包含收藏列表,高,正常流程,PASS
COMMUNITY-028,社区分享-收藏相关,创建收藏夹,正常创建收藏夹,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""createCollection"",""data"": {""name"": ""我的收藏夹"",""is_public"": false}}",已登录,1.创建收藏夹请求 2.检查创建结果,返回code=1，包含collection_id,高,正常流程,PASS
COMMUNITY-029,社区分享-收藏相关,创建收藏夹,创建收藏夹-名称为空,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""createCollection"",""data"": {""name"": """",""is_public"": false}}",已登录,1.发送空名称收藏夹 2.检查名称校验,返回错误提示,中,异常流程,PASS
COMMUNITY-030,社区分享-收藏相关,获取收藏夹列表,正常获取收藏夹,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getCollectionList""}",已登录,1.请求收藏夹列表 2.检查返回数据,返回code=1，包含收藏夹列表,高,正常流程,PASS
COMMUNITY-031,社区分享-收藏相关,删除收藏夹,正常删除收藏夹,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""deleteCollection"",""data"": {""collection_id"": 1}}",收藏夹已创建,1.删除收藏夹请求 2.检查删除结果,返回code=1，删除成功,中,正常流程,PASS
COMMUNITY-032,社区分享-收藏相关,修改收藏夹,正常修改收藏夹,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""updateCollection"",""data"": {""collection_id"": 1,""name"": ""新收藏夹名称"",""is_public"": true}}",收藏夹已创建,1.修改收藏夹请求 2.检查修改结果,返回code=1，修改成功,中,正常流程,PASS
COMMUNITY-033,社区分享-收藏相关,获取用户公开收藏夹,正常获取公开收藏夹,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getPublicCollections"",""data"": {""user_id"": {{current_user_id}}}}",已登录,1.请求公开收藏夹 2.检查返回数据,返回code=1，包含公开收藏夹,中,正常流程,PASS
COMMUNITY-034,社区分享-收藏相关,获取收藏夹收藏列表,正常获取收藏内容,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getCollectionPosts"",""data"": {""collection_id"": 1,""page"": 1,""page_size"": 20}}",收藏夹已创建,1.请求收藏夹内帖子 2.检查返回数据,返回code=1，包含帖子列表,中,正常流程,PASS
COMMUNITY-035,社区分享-评论相关,创建评论,正常创建评论,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""createComment"",""data"": {""post_id"": {{new_post_id}},""content"": ""这是一条评论"",""parent_id"": null}}",帖子已创建,1.提交评论请求 2.检查评论创建,返回code=1，包含comment_id,高,正常流程,PASS
COMMUNITY-036,社区分享-评论相关,创建评论,评论内容为空,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""createComment"",""data"": {""post_id"": {{new_post_id}},""content"": """",""parent_id"": null}}",帖子已创建,1.发送空内容评论 2.检查内容校验,返回错误提示,中,异常流程,PASS
