用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注,结果
TC_022,图片无损压缩存储,"创作者上传图片","1. 创作者上传图片作品
2. 验证后台存储格式",图片以WebP/AVIF格式无损压缩存储,P1,正向-图片压缩存储,
TC_023,查看原图功能,"用户浏览作品","1. 用户点击"查看原图"功能
2. 验证原图加载",高清原图正常加载显示,P0,正向-原图功能,
TC_024,长图分片加载,"用户浏览长图作品","1. 用户浏览长图作品
2. 滑动查看完整图片",长图纵向滑动流畅，不崩溃,P0,正向-长图加载,
TC_025,高潜审核池自动入池,"作品热力值排名前5%","1. 作品热力值计算后进入前5%
2. 验证作品自动进入审核池",作品自动推送到高潜审核池,P0,正向-审核池机制,
TC_026,首页精选标记,"运营人员在审核池操作","1. 运营人员勾选作品为"首页精选"
2. 验证作品分发",作品直接进入首页"封面"高曝区,P0,正向-精选标记,
TC_027,违规内容下架,"运营人员在审核池操作","1. 运营人员发现违规内容
2. 执行违规下架操作",内容传播被立即阻断,P0,正向-下架机制,
TC_028,被点赞通知触发,"作品被点赞","1. 用户B点赞用户A的作品
2. 验证通知发送",用户A收到被点赞通知,P0,正向-通知触发,
TC_029,被推荐通知触发,"作品被推荐","1. 用户B推荐用户A的作品
2. 验证通知发送",用户A收到被推荐通知（专属荣誉通知）P0,正向-通知触发,
TC_030,被评论通知触发,"作品被评论","1. 用户B评论用户A的作品
2. 验证通知发送",用户A收到被评论通知,P0,正向-通知触发,
TC_031,通知点击跳转,"用户收到通知","1. 用户点击通知
2. 验证跳转目标",跳转到对应作品详情页或回复楼层,P0,正向-通知跳转,
TC_032,消息聚合功能,"作品突然爆火收到大量点赞","1. 短时间内收到大量同类通知（如100+赞）
2. 验证通知显示",通知折叠为一条（如"[用户A]等102人赞了你的作品"）P0,正向-消息聚合,
TC_033,金V评论荣誉外显,"作品被金V评论","1. 金V用户评论某作品
2. 验证详情页显示",评论区顶部显示高亮卡片"🔥 [专家名] 推荐了此作品",P0,正向-荣誉外显,
TC_034,半屏抽屉式评论展开,"用户在作品详情页","1. 用户点击评论入口
2. 验证评论区展开方式",底部弹出半屏抽屉（Bottom Sheet）,P0,正向-评论区交互,
TC_035,评论输入框@提及,"用户在评论抽屉","1. 用户在评论输入框输入@
2. 验证@提及功能",支持@其他用户,P0,正向-@提及,
TC_036,动态蒙版背景,"用户浏览作品","1. 用户进入作品详情页
2. 验证页面背景",背景根据图片主色调生成高斯模糊蒙版,P0,正向-动态蒙版,
TC_037,社区首页关注Tab,"用户浏览社区","1. 用户点击"关注"标签
2. 验证内容",显示已关注好友的最新动态（按时间排序）,P0,正向-关注Feed,
TC_038,社区首页精选Tab,"用户浏览社区","1. 用户点击"精选"标签（默认）
2. 验证内容",显示算法分发的千人千面信息流,P0,正向-推荐流,
TC_039,社区首页封面Tab,"用户浏览社区","1. 用户点击"封面"标签
2. 验证内容",仅显示"大火苗"精选作品，大画幅卡片设计,P0,正向-封面Tab,
TC_040,通知中心未读角标,"消息入口有未读","1. 消息tab有未读通知
2. 验证显示",底部导航"消息"入口显示红点或数字角标,P0,正向-角标显示,
TC_041,通知分类聚合,"用户查看通知中心","1. 用户进入通知中心
2. 验证顶部金刚区",显示三个常驻模块："点赞与收藏"、"新增关注"、"@我与评论",P0,正向-通知分类,
TC_042,通知一键已读,"用户操作通知","1. 用户右滑或长按通知项
2. 验证操作结果",支持一键已读或删除,P0,正向-通知操作,
TC_043,通知一键清空,"用户清空通知","1. 用户点击一键清空
2. 验证结果",所有未读通知清除,P0,正向-清空功能,
TC_044,内容生命周期-冷启动测试期,"新作品发布","1. 作品刚发布进入冷启动池
2. 验证曝光机制",新作品在冷启动池中有曝光机会,P0,正向-冷启动,
TC_045,内容生命周期-算法加权成长期,"作品累积互动","1. 作品获得用户互动
2. 验证算法加权",热力值随互动累积成长期,P0,正向-成长期,
TC_046,内容生命周期-人工定性爆发期,"作品进入审核池","1. 高热力值作品被人工标记
2. 验证分发",作品进入首页高曝区实现爆发,P0,正向-爆发期,
TC_047,热力值边界-零互动作品,"发布后无任何互动","1. 作品发布后0互动
2. 验证热力值",作品热力值H=0，无曝光,P1,边界-零互动,
TC_048,热力值边界-单次高权重互动,"金V用户推荐","1. 金V用户推荐某作品
2. 验证热力值跃升",热力值产生100分跃升（10×10）,P1,边界-高权重,
TC_049,评论字数边界,"用户发表评论","1. 评论输入超过最大限制字数
2. 验证系统处理",提示字数超限或自动截断,P1,边界-评论字数,
TC_050,同时在线用户边界,"高并发场景","1. 大量用户同时操作同一作品
2. 验证系统稳定性",系统稳定处理，无异常,P1,边界-并发,
